,id,object_name,chain,object_type,address,number,latitude,longitude,district
1612,158133,Ресторан «Тануки»,да,ресторан,"город Москва, город Зеленоград, корпус 1805",156,55.979717,37.162692,Крюково
1613,25938,Никольский парк,нет,столовая,"город Москва, город Зеленоград, Никольский проезд, дом 5",130,55.992936,37.247251,Савёлки
1614,81199,Изи паб,нет,кафе,"город Москва, Каширское шоссе, дом 122",35,55.605902,37.71813,Орехово-Борисово Южное
1615,155229,Кафе «ЭГРИСИ»,нет,кафе,"город Москва, Шипиловский проезд, дом 39, корпус 1",45,55.611302,37.696741,Орехово-Борисово Северное
1616,81197,Кафе «13 бар»,нет,кафе,"город Москва, Елецкая улица, дом 13",24,55.607951,37.733635,Орехово-Борисово Южное
1617,70502,Кафе «Мануфактура»,нет,кафе,"город Москва, Варшавское шоссе, дом 9",70,55.700481,37.621669,Донской
1618,82401,Кофейня «Старбакс»,да,кафе,"город Москва, Варшавское шоссе, дом 9",42,55.700481,37.621669,Донской
1619,20396,Кафе «BENDER»,нет,бар,"город Москва, Чертановская улица, дом 1В, корпус 1",32,55.639461,37.607143,Чертаново Северное
1620,23767,Кафе «Кружка»,да,кафе,"город Москва, Чертановская улица, дом 1В, корпус 1",428,55.639461,37.607143,Чертаново Северное
1621,151234,Кафе Хинкальная,нет,кафе,"город Москва, улица Речников, дом 32",10,55.6786,37.688764,Нагатинский Затон
1622,23815,Огни Баку,нет,ресторан,"город Москва, Варшавское шоссе, дом 152, корпус 2",380,55.591259,37.598339,Чертаново Южное
1623,151893,Джеримис,нет,кафе,"город Москва, Новокосинская улица, дом 8, корпус 2",190,55.733579,37.856695,Новокосино
1624,151618,ПивоРыба,нет,бар,"город Москва, Новокосинская улица, дом 11, корпус 2",30,55.734405,37.852958,Новокосино
1625,128008,Пицца экспресс,да,кафе,"город Москва, Новокосинская улица, дом 11, корпус 2",12,55.734405,37.852958,Новокосино
1626,132835,Шекспир,нет,кафе,"город Москва, Новокосинская улица, дом 11, корпус 2",15,55.734405,37.852958,Новокосино
1627,23217,Паладин,нет,кафе,"город Москва, Новокосинская улица, дом 11, корпус 2",70,55.734405,37.852958,Новокосино
1628,24342,Кофе Хаус,да,кафе,"город Москва, Большой Толмачёвский переулок, дом 4, строение 1",50,55.740725,37.622881,Якиманка
1629,120392,Кафе-мороженое Viani,нет,кафе,"город Москва, Большой Толмачёвский переулок, дом 4, строение 1",6,55.740725,37.622881,Якиманка
1630,20634,БАРЫ В ФИТНЕС КЛУБЕ «ДОКТОР ЛОДЕР»,нет,бар,"город Москва, улица Остоженка, дом 25",8,55.739554,37.597414,Хамовники
1631,83668,Хон Гиль Дон,нет,кафе,"город Москва, улица Серафимовича, дом 2",40,55.744444,37.613072,Якиманка
